category_id,category_name,skus,avg_base,avg_final_balanced
4,Зарядні станції,41,4.542119747614393,4.427328518272345
76,Портативні колонки,63,4.459698754136759,4.300714520417837
225,Планшети,49,4.530679092602079,4.429847653955481
314,Смартфони,150,4.4416641892363256,4.237275246267833
