model,n,sec,avg_conf,share_neg,share_neu,share_pos
cointegrated/rubert-tiny-sentiment-balanced,10000,70.01,0.7738284200251102,0.1391,0.5261,0.3348
cardiffnlp/twitter-xlm-roberta-base-sentiment,10000,1141.01,0.7078665502756833,0.0815,0.4164,0.5021
