scenario,skus,avg_base,avg_final,avg_delta,share_drop_gt_0.3,share_drop_gt_0.7,share_final_lt_3
soft,303,4.473402095992595,4.407344155385013,-0.06605794060758302,0.0,0.0,0.0
balanced,303,4.473402095992595,4.307324442308525,-0.16607765368406982,0.1419141914191419,0.0033003300330033004,0.009900990099009901
strict,303,4.473402095992595,4.082056957189408,-0.39134513880318783,0.6468646864686468,0.1485148514851485,0.0231023102310231
very_strict,303,4.473402095992595,3.8912736335625517,-0.5821284624300448,0.6831683168316832,0.4521452145214521,0.07590759075907591
