sku,brand,category_id,category_name,reviews_count,rating_raw,rating_smoothed,base_score,final_score__soft,final_score__balanced,final_score__strict,final_score__very_strict
Anker Solix F2000 2048Wh 2300W (A1780311),Anker,4,Зарядні станції,308,4.51948051948052,4.521432041633043,4.521432041633043,4.50980423493694,4.48661939797784,4.395886909725342,4.2757145297050805
Anker SoundCore 2 Black,Anker,76,Портативні колонки,11,4.909090909090909,4.657066727138727,4.657066727138727,4.562981349660819,4.415325622358043,4.062143275284447,3.932184291529652
"Apple iPad 11"" 2025 Wi-Fi 128GB",Apple,225,Планшети,114,4.701754385964913,4.6787842963400825,4.6787842963400825,4.607593030306542,4.4941473025496155,4.207085472217315,3.884597579619923
"Apple iPad Air 11"" M3 2025 Wi-Fi 128GB",Apple,225,Планшети,10,4.6,4.5652365236523655,4.5652365236523655,4.5652365236523655,4.5652365236523655,4.5652365236523655,4.5652365236523655
"Apple iPad Air 11"" M3 2025 Wi-Fi 256GB",Apple,225,Планшети,10,4.6,4.5652365236523655,4.5652365236523655,4.5652365236523655,4.5652365236523655,4.5652365236523655,4.5652365236523655
"Apple iPad Pro 11"" M5 2025 Wi-Fi 256GB",Apple,225,Планшети,2,5.0,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589
"Apple iPad Pro 11"" M5 2025 Wi-Fi 512GB",Apple,225,Планшети,2,5.0,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589
Apple iPhone 15 128GB,Apple,314,Смартфони,210,4.6571428571428575,4.641385906928681,4.641385906928681,4.5896440725039405,4.504903961726458,4.2739058930218,4.010104935168782
Apple iPhone 15 256GB,Apple,314,Смартфони,210,4.6571428571428575,4.641385906928681,4.641385906928681,4.5896440725039405,4.504903961726458,4.2739058930218,4.010104935168782
Apple iPhone 16 128GB,Apple,314,Смартфони,196,4.857142857142857,4.821846104599984,4.821846104599984,4.750433224519624,4.638329361116161,4.357743536664892,4.046436482390404
Apple iPhone 16 Plus 128GB,Apple,314,Смартфони,147,4.857142857142857,4.811489572416746,4.811489572416746,4.740076692336387,4.627972828932923,4.3473870044816545,4.036079950207166
Apple iPhone 16 Plus 256GB,Apple,314,Смартфони,196,4.857142857142857,4.821846104599984,4.821846104599984,4.750433224519624,4.638329361116161,4.357743536664892,4.046436482390404
Apple iPhone 17 256GB,Apple,314,Смартфони,28,4.892857142857143,4.719140804033262,4.719140804033262,4.64861606743872,4.539079268136084,4.2664354917649066,3.9667793798263737
Apple iPhone 17 Pro 256GB,Apple,314,Смартфони,142,4.732394366197183,4.700733077738251,4.700733077738251,4.618484240721754,4.492518799839643,4.190761449862734,3.8616739003302474
Apple iPhone 17 Pro Max 256GB,Apple,314,Смартфони,537,4.754189944134078,4.744198848462471,4.744198848462471,4.672214383129491,4.56102758794246,4.286549288548291,3.9861189683091927
Apple iPhone 17 Pro Max 512GB,Apple,314,Смартфони,71,4.732394366197183,4.676030314215346,4.676030314215346,4.593781477198849,4.467816036316738,4.166058686339829,3.8369711368073425
Apple iPhone Air 256GB,Apple,314,Смартфони,6,4.333333333333333,4.443029176676791,4.443029176676791,4.395179928722738,4.32855165018837,4.1768317502364924,4.165420339161364
Apple iPhone Air 512GB,Apple,314,Смартфони,12,4.333333333333333,4.422461206049892,4.422461206049892,4.342712459459804,4.231665328569191,3.9787988286493947,3.8672435310190383
"Archos T101 HD Plus 10.1"" 2/32Gb (ACT101HDP)",Archos,225,Планшети,11,5.0,4.70829340998616,4.70829340998616,4.614208032508252,4.466552305205475,4.113369958131878,3.9834109743770845
BLUETTI AC180P 1440Wh | 1800W,Bluetti,4,Зарядні станції,490,4.520408163265306,4.521626881677721,4.521626881677721,4.504116900479085,4.471201716256732,4.354466150060209,4.207027620446292
BLUETTI AC200L 2048Wh | 2400W,Bluetti,4,Зарядні станції,28,4.464285714285714,4.500618951159128,4.500618951159128,4.3819396568290765,4.209788636131632,3.838045582385152,3.446792420546883
